customer_id,customer_count
13326061,1
52512151,1
8968933,1
39416583,1
21737233,1
44119972,1
13947800,1
21482558,1
2802853,1
18518845,1
122484,1
14035069,1
20004191,1
16699322,1
24768141,1
24424556,1
44293588,1
13188682,1
23298840,1
50731398,1
12471542,1
12524781,1
42836746,1
7467799,1
37856551,1
14541422,1
17487327,1
52877763,1
29830678,1
35294842,1
11944687,1
49841563,1
50730620,1
33568821,1
52422630,1
52628848,1
10604187,1
487358,1
13844453,1
5430943,1
17483588,1
31574463,1
513664,1
51339538,1
24602867,1
41549558,1
11622289,1
47942590,1
27964978,1
21331356,1
26797528,1
12833423,1
16909687,1
21458971,1
19278656,1
13458704,1
34899087,1
33991730,1
52231496,1
1414816,2
22978817,1
14258739,1
3025539,1
32594489,1
2670395,1
24486106,1
33482839,1
16251797,1
31196655,1
1270365,1
10831728,1
50312719,1
24884320,1
45356616,1
37855577,1
21326745,1
40366383,2
45488258,2
45520434,1
45205318,1
22989099,1
46917467,1
28237877,1
33489184,1
13499409,1
30921049,1
18273933,1
31302715,1
41713566,2
49076716,1
45910590,1
49355710,1
1263434,1
49333634,1
43136165,1
9926256,1
32812131,1
41411662,1
49850471,1
50142216,1
46146704,1
15687327,1
9347763,1
7257695,1
30513798,1
35863004,1
11611754,1
2637756,1
34962128,1
20090213,1
1487066,2
17278607,1
28730717,1
794130,1
45015522,2
40891873,1
51706834,1
7968933,1
28520694,1
7846276,1
47143360,1
46306088,1
11534685,1
46939580,1
46351928,1
3055364,1
2023816,1
45171597,1
44718321,1
16771645,1
37914609,1
33266873,1
32366239,2
42216013,1
26364549,1
50179652,1
21017534,1
12705131,1
18846230,1
1208798,1
31268594,1
42354937,1
49008815,2
50637858,1
45440322,1
21782950,1
17970753,1
47867759,1
42175961,1
3393457,1
48646654,1
5464086,1
46932280,1
40405228,1
17481726,1
15690536,1
23147992,1
22509541,1
39318621,1
13631201,1
20666533,1
1810767,1
37903318,1
14863197,1
45327024,1
49712833,1
9971113,1
38456994,1
36453508,1
14731566,1
52131453,1
43083361,2
20197766,1
35457615,1
43066622,1
22421107,1
12402644,1
34760180,1
15867674,1
33869939,1
1245107,2
38552608,1
27506770,1
42913715,1
4736915,1
49890009,1
29990218,1
37975221,2
37890218,1
24501591,1
19307998,1
38754731,1
38209550,1
10263895,1
24789531,1
14579052,1
1379422,1
